Game,Winner,Reason,TotalMoves
1,Draw,Max Moves,200
2,Draw,Max Moves,200
3,Draw,Max Moves,200
4,Draw,Max Moves,200
5,Draw,Max Moves,200
6,Draw,Max Moves,200
7,Draw,Max Moves,200
8,Draw,Max Moves,200
9,Draw,Repetition,83
10,Draw,Max Moves,200
11,Draw,Max Moves,200
12,Draw,Stalemate,136
13,Draw,Max Moves,200
14,Draw,Max Moves,200
15,Draw,Max Moves,200
16,Draw,Max Moves,200
17,Draw,Max Moves,200
18,Draw,Max Moves,200
19,Draw,Max Moves,200
20,Draw,Max Moves,200
21,Draw,Max Moves,200
22,Draw,Max Moves,200
23,Draw,Max Moves,200
24,Bot1_Black,Checkmate,78
25,Draw,Repetition,97
26,Draw,Max Moves,200
27,Draw,Max Moves,200
28,Draw,Max Moves,200
29,Draw,Max Moves,200
30,Draw,Repetition,142
31,Draw,Max Moves,200
32,Draw,Max Moves,200
33,Draw,Max Moves,200
34,Draw,Max Moves,200
35,Draw,Max Moves,200
36,Draw,Max Moves,200
37,Draw,Max Moves,200
38,Draw,Max Moves,200
39,Draw,Max Moves,200
40,Draw,Max Moves,200
41,Draw,Max Moves,200
42,Draw,Max Moves,200
43,Draw,Max Moves,200
44,Draw,Max Moves,200
45,Draw,Max Moves,200
46,Draw,Max Moves,200
47,Draw,Max Moves,200
48,Bot2_White,Checkmate,79
49,Draw,Max Moves,200
50,Draw,Max Moves,200
51,Draw,Max Moves,200
52,Draw,Repetition,107
53,Draw,Max Moves,200
54,Draw,Max Moves,200
55,Draw,Max Moves,200
56,Draw,Max Moves,200
57,Draw,Max Moves,200
58,Draw,Max Moves,200
59,Draw,Max Moves,200
60,Draw,Max Moves,200
61,Draw,Max Moves,200
62,Draw,Max Moves,200
63,Draw,Max Moves,200
64,Draw,Max Moves,200
65,Draw,Repetition,110
66,Draw,Max Moves,200
67,Draw,Max Moves,200
68,Draw,Max Moves,200
69,Draw,Repetition,157
70,Draw,Max Moves,200
71,Draw,Max Moves,200
72,Draw,Max Moves,200
73,Draw,Max Moves,200
74,Draw,Max Moves,200
75,Draw,Max Moves,200
76,Draw,Max Moves,200
77,Draw,Max Moves,200
78,Draw,Max Moves,200
79,Draw,Max Moves,200
80,Draw,Max Moves,200
81,Draw,Max Moves,200
82,Draw,Max Moves,200
83,Draw,Max Moves,200
84,Draw,Max Moves,200
85,Draw,Max Moves,200
86,Draw,Max Moves,200
87,Draw,Max Moves,200
88,Draw,Max Moves,200
89,Draw,Max Moves,200
90,Draw,Max Moves,200
91,Draw,Max Moves,200
92,Draw,Max Moves,200
93,Draw,Repetition,113
94,Draw,Max Moves,200
95,Draw,Max Moves,200
96,Draw,Max Moves,200
97,Draw,Max Moves,200
98,Draw,Max Moves,200
99,Draw,Max Moves,200
100,Draw,Max Moves,200
101,Draw,Max Moves,200
102,Draw,Max Moves,200
103,Draw,Max Moves,200
104,Draw,Repetition,194
105,Draw,Max Moves,200
106,Draw,Max Moves,200
107,Draw,Max Moves,200
108,Draw,Repetition,76
109,Draw,Max Moves,200
110,Draw,Max Moves,200
111,Draw,Max Moves,200
112,Draw,Max Moves,200
113,Draw,Max Moves,200
114,Draw,Max Moves,200
115,Draw,Max Moves,200
116,Draw,Max Moves,200
117,Draw,Max Moves,200
118,Draw,Max Moves,200
119,Draw,Max Moves,200
120,Draw,Max Moves,200
121,Draw,Max Moves,200
122,Draw,Repetition,132
123,Draw,Max Moves,200
124,Draw,Max Moves,200
125,Draw,Max Moves,200
126,Draw,Max Moves,200
127,Draw,Max Moves,200
128,Draw,Max Moves,200
129,Draw,Max Moves,200
130,Draw,Max Moves,200
131,Draw,Max Moves,200
132,Draw,Max Moves,200
133,Draw,Max Moves,200
134,Draw,Max Moves,200
135,Draw,Max Moves,200
136,Draw,Max Moves,200
137,Draw,Max Moves,200
138,Draw,Max Moves,200
139,Draw,Max Moves,200
140,Draw,Max Moves,200
141,Draw,Max Moves,200
142,Draw,Max Moves,200
143,Draw,Max Moves,200
144,Draw,Max Moves,200
145,Draw,Max Moves,200
146,Draw,Max Moves,200
147,Draw,Max Moves,200
148,Draw,Max Moves,200
149,Draw,Max Moves,200
150,Draw,Max Moves,200
151,Draw,Max Moves,200
152,Draw,Max Moves,200
153,Draw,Max Moves,200
154,Draw,Max Moves,200
155,Draw,Max Moves,200
156,Draw,Max Moves,200
157,Draw,Max Moves,200
158,Draw,Max Moves,200
159,Draw,Max Moves,200
160,Draw,Max Moves,200
161,Draw,Max Moves,200
162,Draw,Max Moves,200
163,Draw,Max Moves,200
164,Draw,Repetition,111
165,Draw,Max Moves,200
166,Draw,Max Moves,200
167,Draw,Max Moves,200
168,Draw,Max Moves,200
169,Draw,Max Moves,200
170,Draw,Max Moves,200
171,Draw,Max Moves,200
172,Draw,Max Moves,200
173,Draw,Max Moves,200
174,Draw,Max Moves,200
175,Draw,Max Moves,200
176,Draw,Max Moves,200
177,Draw,Max Moves,200
178,Draw,Max Moves,200
179,Draw,Max Moves,200
180,Bot1_Black,Checkmate,54
181,Draw,Max Moves,200
182,Draw,Max Moves,200
183,Draw,Max Moves,200
184,Draw,Max Moves,200
185,Draw,Max Moves,200
186,Draw,Repetition,93
187,Draw,Max Moves,200
188,Draw,Max Moves,200
189,Draw,Max Moves,200
190,Draw,Max Moves,200
191,Draw,Max Moves,200
192,Draw,Max Moves,200
193,Draw,Max Moves,200
194,Draw,Max Moves,200
195,Draw,Max Moves,200
196,Draw,Max Moves,200
197,Draw,Max Moves,200
198,Draw,Max Moves,200
199,Draw,Max Moves,200
200,Draw,Max Moves,200
201,Draw,Max Moves,200
202,Draw,Max Moves,200
203,Draw,Max Moves,200
204,Draw,Max Moves,200
205,Draw,Max Moves,200
206,Draw,Max Moves,200
207,Draw,Max Moves,200
208,Draw,Max Moves,200
209,Draw,Max Moves,200
210,Draw,Max Moves,200
211,Draw,Max Moves,200
212,Draw,Max Moves,200
213,Draw,Max Moves,200
214,Draw,Max Moves,200
215,Draw,Max Moves,200
216,Draw,Repetition,185
217,Draw,Max Moves,200
218,Draw,Max Moves,200
219,Draw,Max Moves,200
220,Draw,Max Moves,200
221,Draw,Max Moves,200
222,Draw,Repetition,118
223,Draw,Max Moves,200
224,Draw,Max Moves,200
225,Draw,Max Moves,200
226,Draw,Max Moves,200
227,Draw,Max Moves,200
228,Draw,Max Moves,200
229,Draw,Max Moves,200
230,Draw,Max Moves,200
231,Draw,Max Moves,200
232,Draw,Stalemate,119
233,Draw,Max Moves,200
234,Draw,Max Moves,200
235,Draw,Max Moves,200
236,Draw,Max Moves,200
237,Draw,Max Moves,200
238,Draw,Max Moves,200
239,Draw,Repetition,72
240,Draw,Max Moves,200
241,Draw,Max Moves,200
242,Draw,Max Moves,200
243,Draw,Max Moves,200
244,Draw,Max Moves,200
245,Draw,Max Moves,200
246,Draw,Max Moves,200
247,Draw,Max Moves,200
248,Draw,Max Moves,200
249,Draw,Max Moves,200
250,Draw,Max Moves,200
251,Draw,Max Moves,200
252,Draw,Max Moves,200
253,Draw,Max Moves,200
254,Draw,Repetition,65
255,Draw,Max Moves,200
256,Draw,Max Moves,200
257,Draw,Max Moves,200
258,Draw,Max Moves,200
259,Draw,Max Moves,200
260,Draw,Max Moves,200
261,Draw,Max Moves,200
262,Draw,Max Moves,200
263,Draw,Max Moves,200
264,Draw,Max Moves,200
265,Draw,Max Moves,200
266,Draw,Max Moves,200
267,Draw,Max Moves,200
268,Draw,Max Moves,200
269,Draw,Max Moves,200
270,Draw,Max Moves,200
271,Draw,Max Moves,200
272,Bot1_Black,Checkmate,46
273,Draw,Max Moves,200
274,Draw,Max Moves,200
275,Draw,Max Moves,200
276,Draw,Max Moves,200
277,Draw,Max Moves,200
278,Draw,Max Moves,200
279,Draw,Max Moves,200
280,Draw,Max Moves,200
281,Draw,Repetition,80
282,Draw,Repetition,56
283,Draw,Max Moves,200
284,Draw,Max Moves,200
285,Draw,Max Moves,200
286,Draw,Repetition,146
287,Draw,Max Moves,200
288,Draw,Max Moves,200
289,Draw,Max Moves,200
290,Draw,Max Moves,200
291,Draw,Max Moves,200
292,Draw,Max Moves,200
293,Draw,Max Moves,200
294,Draw,Max Moves,200
295,Draw,Max Moves,200
296,Draw,Max Moves,200
297,Draw,Max Moves,200
298,Draw,Max Moves,200
299,Draw,Max Moves,200
300,Draw,Max Moves,200
301,Draw,Max Moves,200
302,Draw,Max Moves,200
303,Draw,Max Moves,200
304,Draw,Max Moves,200
305,Draw,Max Moves,200
306,Draw,Max Moves,200
307,Draw,Max Moves,200
308,Draw,Max Moves,200
309,Draw,Max Moves,200
310,Draw,Max Moves,200
311,Draw,Max Moves,200
312,Draw,Max Moves,200
313,Draw,Max Moves,200
314,Draw,Max Moves,200
315,Draw,Max Moves,200
316,Draw,Max Moves,200
317,Draw,Max Moves,200
318,Draw,Max Moves,200
319,Draw,Max Moves,200
320,Draw,Max Moves,200
321,Draw,Max Moves,200
322,Draw,Repetition,144
323,Draw,Max Moves,200
324,Draw,Max Moves,200
325,Bot2_Black,Checkmate,70
326,Draw,Max Moves,200
327,Draw,Repetition,92
328,Draw,Max Moves,200
329,Draw,Max Moves,200
330,Draw,Repetition,97
331,Draw,Repetition,151
332,Draw,Max Moves,200
333,Draw,Max Moves,200
334,Draw,Max Moves,200
335,Draw,Max Moves,200
336,Draw,Max Moves,200
337,Draw,Max Moves,200
338,Draw,Max Moves,200
339,Draw,Max Moves,200
340,Draw,Max Moves,200
341,Draw,Max Moves,200
342,Draw,Max Moves,200
343,Draw,Max Moves,200
344,Draw,Max Moves,200
345,Draw,Max Moves,200
346,Draw,Max Moves,200
347,Draw,Max Moves,200
348,Draw,Max Moves,200
349,Draw,Max Moves,200
350,Draw,Max Moves,200
351,Draw,Max Moves,200
352,Draw,Max Moves,200
353,Draw,Max Moves,200
354,Draw,Max Moves,200
355,Draw,Max Moves,200
356,Draw,Max Moves,200
357,Draw,Max Moves,200
358,Draw,Max Moves,200
359,Draw,Max Moves,200
360,Draw,Max Moves,200
361,Draw,Max Moves,200
362,Draw,Max Moves,200
363,Bot2_Black,Checkmate,54
364,Draw,Max Moves,200
365,Draw,Max Moves,200
366,Draw,Max Moves,200
367,Draw,Max Moves,200
368,Draw,Max Moves,200
369,Draw,Max Moves,200
370,Draw,Max Moves,200
371,Draw,Max Moves,200
372,Draw,Max Moves,200
373,Draw,Max Moves,200
374,Draw,Max Moves,200
375,Draw,Max Moves,200
376,Draw,Max Moves,200
377,Draw,Max Moves,200
378,Draw,Max Moves,200
379,Draw,Max Moves,200
380,Bot2_White,Checkmate,133
381,Draw,Max Moves,200
382,Draw,Max Moves,200
383,Draw,Max Moves,200
384,Draw,Max Moves,200
385,Draw,Max Moves,200
386,Draw,Max Moves,200
